score	frequency	target
-3986653	1	chm13
-3948516	1	chm13
-3947229	1	chm13
-3945825	1	chm13
-3945787	1	chm13
-3942853	1	chm13
-3935161	1	chm13
-3934867	1	chm13
-3932955	1	chm13
-3918843	1	chm13
-3914489	1	chm13
-3909327	1	chm13
-3908694	1	chm13
-3900179	1	chm13
-3893679	1	chm13
-3887827	1	chm13
-3882852	1	chm13
-3880150	1	chm13
-3878406	1	chm13
-3876669	1	chm13
-3872971	1	chm13
-3869419	1	chm13
-3862564	1	chm13
-3857697	1	chm13
-3857448	1	chm13
-3851757	1	chm13
-3851535	1	chm13
-3850511	1	chm13
-3827403	1	chm13
-3825817	1	chm13
-3825192	1	chm13
-3821089	1	chm13
-3813616	1	chm13
-3808843	1	chm13
-3808460	1	chm13
-3806967	1	chm13
-3805066	1	chm13
-3795607	1	chm13
-3792165	1	chm13
-3790883	1	chm13
-3788906	1	chm13
-3774549	1	chm13
-3773582	1	chm13
-3770203	1	chm13
-3755695	1	chm13
-3744044	1	chm13
-3709352	1	chm13
-3707358	1	chm13
-3707271	1	chm13
-3686588	1	chm13
-3685438	1	chm13
-3684508	1	chm13
-3683234	1	chm13
-3674047	1	chm13
-3663731	1	chm13
-3662285	1	chm13
-3660988	1	chm13
-3653089	1	chm13
-3647037	1	chm13
-3645869	1	chm13
-3636507	1	chm13
-3631107	1	chm13
-3629612	1	chm13
-3619814	1	chm13
-3616851	1	chm13
-3614512	1	chm13
-3614308	1	chm13
-3608008	1	chm13
-3605965	1	chm13
-3604709	1	chm13
-3603011	1	chm13
-3601103	1	chm13
-3600350	1	chm13
-3594070	1	chm13
-3573349	1	chm13
-3570508	1	chm13
-3566599	1	chm13
-3566318	1	chm13
-3560091	1	chm13
-3556870	1	chm13
-3553061	1	chm13
-3546223	1	chm13
-3543382	1	chm13
-3541066	1	chm13
-3536206	1	chm13
-3533466	1	chm13
-3523155	1	chm13
-3519650	1	chm13
-3516410	1	chm13
-3515555	1	chm13
-3511330	1	chm13
-3508701	1	chm13
-3494242	1	chm13
-3494209	1	chm13
-3485079	1	chm13
-3481908	1	chm13
-3475757	1	chm13
-3473150	1	chm13
-3468879	1	chm13
-3464822	1	chm13
-3462844	1	chm13
-3459484	1	chm13
-3453651	1	chm13
-3444117	1	chm13
-3441388	1	chm13
-3437255	1	chm13
-3426969	1	chm13
-3423434	1	chm13
-3421403	1	chm13
-3421241	1	chm13
-3419465	1	chm13
-3417068	1	chm13
-3412766	1	chm13
-3401648	1	chm13
-3399847	1	chm13
-3398136	1	chm13
-3388610	1	chm13
-3383812	1	chm13
-3383788	1	chm13
-3379045	1	chm13
-3376576	1	chm13
-3375348	1	chm13
-3374356	1	chm13
-3371066	1	chm13
-3367754	1	chm13
-3360307	1	chm13
-3350722	1	chm13
-3328579	1	chm13
-3324414	1	chm13
-3323119	1	chm13
