score_per_base	frequency	target
-1.57509	1	chm13
-1.57508	1	chm13
-1.57489	1	chm13
-1.57485	2	chm13
-1.57469	1	chm13
-1.57459	1	chm13
-1.57437	1	chm13
-1.57431	1	chm13
-1.57429	1	chm13
-1.57427	1	chm13
-1.57419	1	chm13
-1.57418	1	chm13
-1.57417	1	chm13
-1.57403	1	chm13
-1.57394	1	chm13
-1.57393	1	chm13
-1.57392	1	chm13
-1.57385	1	chm13
-1.57376	1	chm13
-1.57346	1	chm13
-1.57332	1	chm13
-1.57307	1	chm13
-1.57296	1	chm13
-1.57283	1	chm13
-1.57270	1	chm13
-1.57265	1	chm13
-1.57260	1	chm13
-1.57257	1	chm13
-1.57233	1	chm13
-1.57231	1	chm13
-1.57220	1	chm13
-1.57207	1	chm13
-1.57201	1	chm13
-1.57199	1	chm13
-1.57182	1	chm13
-1.57173	1	chm13
-1.57168	1	chm13
-1.57098	1	chm13
-1.57086	1	chm13
-1.57076	1	chm13
-1.57068	1	chm13
-1.57051	1	chm13
-1.57048	1	chm13
-1.57038	1	chm13
-1.57012	1	chm13
-1.57007	1	chm13
-1.57006	1	chm13
-1.57004	1	chm13
-1.56994	1	chm13
-1.56961	1	chm13
-1.56934	1	chm13
-1.56912	1	chm13
-1.56906	1	chm13
-1.56902	1	chm13
-1.56892	1	chm13
-1.56891	1	chm13
-1.56883	1	chm13
-1.56871	1	chm13
-1.56840	1	chm13
-1.56827	1	chm13
-1.56810	1	chm13
-1.56797	1	chm13
-1.56766	1	chm13
-1.56764	1	chm13
-1.56763	1	chm13
-1.56756	1	chm13
-1.56738	1	chm13
-1.56729	1	chm13
-1.56728	1	chm13
-1.56725	1	chm13
-1.56716	1	chm13
-1.56708	1	chm13
-1.56705	1	chm13
-1.56701	1	chm13
-1.56687	1	chm13
-1.56686	1	chm13
-1.56684	1	chm13
-1.56646	1	chm13
-1.56593	1	chm13
-1.56580	1	chm13
-1.56567	1	chm13
-1.56553	1	chm13
-1.56546	1	chm13
-1.56535	1	chm13
-1.56523	1	chm13
-1.56517	1	chm13
-1.56514	1	chm13
-1.56506	1	chm13
-1.56488	1	chm13
-1.56482	1	chm13
-1.56474	1	chm13
-1.56461	1	chm13
-1.56452	1	chm13
-1.56446	1	chm13
-1.56443	1	chm13
-1.56441	1	chm13
-1.56439	1	chm13
-1.56430	1	chm13
-1.56417	1	chm13
-1.56402	1	chm13
-1.56384	1	chm13
-1.56377	1	chm13
-1.56360	1	chm13
-1.56351	1	chm13
-1.56343	1	chm13
-1.56341	1	chm13
-1.56298	1	chm13
-1.56296	1	chm13
-1.56272	1	chm13
-1.56260	1	chm13
-1.56241	1	chm13
-1.56239	1	chm13
-1.56207	1	chm13
-1.56198	1	chm13
-1.56196	1	chm13
-1.56193	1	chm13
-1.56183	1	chm13
-1.56166	1	chm13
-1.56162	1	chm13
-1.56160	1	chm13
-1.56133	1	chm13
-1.56126	1	chm13
-1.56121	1	chm13
-1.56087	1	chm13
-1.56085	1	chm13
-1.56074	1	chm13
-1.56071	1	chm13
-1.56057	1	chm13
-1.55979	1	chm13
-1.55954	1	chm13
-1.55944	1	chm13
-1.55940	1	chm13
-1.55934	1	chm13
-1.55927	1	chm13
-1.55883	1	chm13
-1.55870	1	chm13
-1.55864	1	chm13
-1.55841	1	chm13
-1.55839	1	chm13
-1.55820	1	chm13
-1.55796	1	chm13
-1.55764	1	chm13
-1.55763	1	chm13
-1.55756	1	chm13
-1.55752	3	chm13
-1.55738	1	chm13
-1.55719	1	chm13
-1.55713	1	chm13
-1.55704	1	chm13
-1.55688	1	chm13
-1.55683	1	chm13
-1.55664	1	chm13
-1.55649	1	chm13
-1.55638	1	chm13
-1.55607	1	chm13
-1.55582	1	chm13
-1.55577	1	chm13
-1.55573	1	chm13
-1.55562	1	chm13
-1.55549	1	chm13
-1.55529	1	chm13
-1.55522	1	chm13
-1.55478	1	chm13
-1.55473	1	chm13
-1.55458	1	chm13
-1.55445	1	chm13
-1.55441	1	chm13
-1.55428	1	chm13
-1.55416	1	chm13
-1.55415	1	chm13
-1.55408	1	chm13
-1.55369	1	chm13
-1.55352	1	chm13
-1.55351	1	chm13
-1.55327	1	chm13
-1.55321	1	chm13
-1.55313	1	chm13
-1.55282	1	chm13
-1.55281	1	chm13
-1.55273	1	chm13
-1.55266	1	chm13
-1.55244	1	chm13
-1.55233	1	chm13
-1.55232	1	chm13
-1.55219	1	chm13
-1.55217	1	chm13
-1.55201	1	chm13
-1.55199	1	chm13
-1.55179	1	chm13
-1.55176	1	chm13
-1.55174	1	chm13
-1.55150	1	chm13
-1.55107	1	chm13
-1.55098	1	chm13
-1.55096	1	chm13
-1.55082	1	chm13
-1.55079	1	chm13
-1.55071	1	chm13
-1.55068	1	chm13
-1.55064	1	chm13
-1.55040	1	chm13
-1.55039	1	chm13
-1.55036	1	chm13
-1.54994	1	chm13
-1.54982	1	chm13
-1.54979	1	chm13
-1.54978	1	chm13
-1.54976	1	chm13
-1.54967	1	chm13
-1.54940	1	chm13
-1.54927	1	chm13
-1.54904	1	chm13
-1.54891	1	chm13
-1.54885	1	chm13
-1.54868	1	chm13
-1.54846	1	chm13
-1.54841	1	chm13
-1.54835	1	chm13
-1.54834	1	chm13
-1.54818	1	chm13
-1.54802	1	chm13
-1.54760	1	chm13
-1.54746	1	chm13
-1.54728	1	chm13
-1.54722	1	chm13
-1.54706	1	chm13
-1.54693	1	chm13
-1.54655	1	chm13
-1.54640	1	chm13
-1.54602	1	chm13
-1.54595	1	chm13
-1.54591	1	chm13
-1.54575	1	chm13
-1.54571	1	chm13
-1.54540	1	chm13
-1.54538	1	chm13
-1.54529	1	chm13
-1.54526	1	chm13
-1.54511	1	chm13
-1.54504	1	chm13
-1.54500	1	chm13
-1.54483	1	chm13
-1.54478	1	chm13
-1.54466	1	chm13
-1.54463	1	chm13
-1.54459	1	chm13
-1.54435	1	chm13
-1.54429	1	chm13
-1.54416	1	chm13
-1.54412	1	chm13
-1.54400	1	chm13
-1.54383	1	chm13
-1.54374	1	chm13
-1.54367	1	chm13
-1.54360	1	chm13
-1.54355	1	chm13
-1.54343	1	chm13
-1.54324	1	chm13
-1.54322	1	chm13
-1.54320	1	chm13
-1.54295	1	chm13
-1.54265	1	chm13
-1.54250	1	chm13
-1.54244	1	chm13
-1.54234	1	chm13
-1.54224	1	chm13
-1.54223	1	chm13
-1.54207	2	chm13
-1.54200	1	chm13
-1.54194	1	chm13
-1.54183	1	chm13
-1.54176	1	chm13
-1.54169	1	chm13
-1.54168	1	chm13
-1.54153	2	chm13
-1.54124	1	chm13
-1.54102	1	chm13
-1.54098	1	chm13
-1.54080	1	chm13
-1.54069	1	chm13
-1.54048	1	chm13
-1.54037	1	chm13
-1.53978	1	chm13
-1.53964	1	chm13
-1.53954	1	chm13
-1.53932	1	chm13
-1.53927	1	chm13
-1.53924	1	chm13
-1.53909	1	chm13
-1.53906	1	chm13
-1.53892	1	chm13
-1.53888	1	chm13
-1.53885	2	chm13
-1.53873	2	chm13
-1.53812	1	chm13
-1.53810	1	chm13
-1.53809	1	chm13
-1.53792	1	chm13
-1.53790	1	chm13
-1.53782	1	chm13
-1.53771	1	chm13
-1.53748	1	chm13
-1.53739	1	chm13
-1.53738	1	chm13
-1.53717	1	chm13
-1.53713	1	chm13
-1.53710	1	chm13
-1.53700	1	chm13
-1.53687	1	chm13
-1.53681	1	chm13
-1.53643	1	chm13
-1.53642	1	chm13
-1.53633	1	chm13
-1.53625	1	chm13
-1.53621	1	chm13
-1.53607	1	chm13
