Dataset,Record Count,Sequence Length,Error,Tracepoint Type,sample.seq,dataset.fa,fastga.paf,tmp.paf,cigzip.paf,tp.paf,decompressed.paf,,Seq File (MB),FASTA file (MB),FastGA PAF (MB),Tracepoint Encoded PAF (MB),tmp.paf,cigzip.paf,decompressed.paf
N3012_R10000_L10000_E0.2,10000,10000,0.2,variable,200042765,200270553,4853251,2901160,5700160,2003988,5700160,,190.78,190.99,4.63,1.91,2.77,5.44,5.44
N4001_R10000_L100_E0.01,10000,100,0.01,fastga,2039878,2267666,2446130,3664378,3613058,2257345,3613058,,1.95,2.16,2.33,2.15,3.49,3.45,3.45
N4002_R10000_L1000_E0.01,10000,1000,0.01,fastga,20039933,20267721,4620636,5387438,6241082,5464990,6241082,,19.11,19.33,4.41,5.21,5.14,5.95,5.95
N4003_R10000_L10000_E0.01,10000,10000,0.01,fastga,200039680,200267468,14271020,5712540,15895702,26919852,15895702,,190.77,190.99,13.61,25.67,5.45,15.16,15.16
N4004_R10000_L100_E0.05,10000,100,0.05,fastga,2040021,2267809,1672820,2530670,2475022,1567892,2475022,,1.95,2.16,1.60,1.50,2.41,2.36,2.36
N4005_R10000_L1000_E0.05,10000,1000,0.05,fastga,20039540,20267328,7873446,5375311,9503390,5425456,9503390,,19.11,19.33,7.51,5.17,5.13,9.06,9.06
N4006_R10000_L10000_E0.05,10000,10000,0.05,fastga,200038667,200266455,47124091,5713861,48845704,26612251,48845704,,190.77,190.99,44.94,25.38,5.45,46.58,46.58
N4007_R10000_L100_E0.1,10000,100,0.1,fastga,2039953,2267741,1666078,2521864,2466078,1563042,2466078,,1.95,2.16,1.59,1.49,2.41,2.35,2.35
N4008_R10000_L1000_E0.1,10000,1000,0.1,fastga,20040772,20268560,6110907,3924142,7308041,4030634,7308041,,19.11,19.33,5.83,3.84,3.74,6.97,6.97
N4009_R10000_L10000_E0.1,10000,10000,0.1,fastga,200044101,200271889,80503329,5709133,82482695,27381697,82482695,,190.78,190.99,76.77,26.11,5.44,78.66,78.66
N4010_R10000_L100_E0.2,10000,100,0.2,fastga,2040534,2268322,1663975,2519369,2463855,1561940,2463855,,1.95,2.16,1.59,1.49,2.40,2.35,2.35
N4011_R10000_L1000_E0.2,10000,1000,0.2,fastga,20038364,20266152,1813724,2678740,2614543,2764924,2614543,,19.11,19.33,1.73,2.64,2.55,2.49,2.49
N4012_R10000_L10000_E0.2,10000,10000,0.2,fastga,200036741,200264529,4891162,2901708,5737249,14022192,5737249,,190.77,190.99,4.66,13.37,2.77,5.47,5.47
